,sentiment
1546,positive
1547,negative
1548,positive
1549,positive
1550,positive
1551,negative
1552,negative
1553,negative
1554,positive
1555,negative
1556,positive
1557,positive
1558,negative
1559,negative
1560,positive
1561,positive
1562,positive
1563,positive
1564,negative
1565,negative
1566,positive
1567,negative
1568,positive
1569,negative
1570,positive
1571,positive
1572,negative
1573,positive
1574,negative
1575,positive
1576,positive
1577,negative
1578,positive
1579,positive
1580,negative
1581,positive
1582,positive
1583,negative
1584,negative
1585,positive
1586,negative
1587,positive
1588,negative
1589,negative
1590,positive
1591,positive
1592,negative
1593,negative
1594,positive
1595,positive
1596,negative
1597,positive
1598,positive
1599,positive
1600,negative
1601,positive
1602,negative
1603,positive
1604,negative
1605,negative
1606,positive
1607,positive
1608,negative
1609,positive
1610,negative
1611,negative
1612,negative
1613,positive
1614,positive
1615,positive
1616,positive
1617,negative
1618,negative
1619,negative
1620,negative
1621,negative
1622,negative
1623,positive
1624,negative
1625,negative
1626,negative
1627,positive
1628,positive
1629,negative
1630,positive
1631,positive
1632,negative
1633,positive
1634,positive
1635,positive
1636,positive
1637,negative
1638,negative
1639,positive
1640,negative
1641,negative
1642,positive
1643,positive
1644,negative
1645,positive
1646,negative
1647,positive
1648,negative
1649,positive
1650,negative
1651,negative
1652,positive
1653,negative
1654,negative
1655,positive
1656,positive
1657,positive
1658,positive
1659,positive
1660,positive
1661,negative
1662,positive
1663,positive
1664,positive
1665,negative
1666,positive
1667,positive
1668,negative
1669,negative
1670,positive
1671,positive
1672,positive
1673,negative
1674,positive
1675,positive
1676,negative
1677,positive
1678,negative
1679,positive
1680,negative
1681,positive
1682,positive
1683,negative
1684,negative
1685,positive
1686,negative
1687,negative
1688,negative
1689,positive
1690,negative
1691,negative
1692,negative
1693,negative
1694,negative
1695,negative
1696,positive
1697,positive
1698,positive
1699,negative
1700,positive
1701,negative
1702,negative
1703,negative
1704,negative
1705,negative
1706,positive
1707,negative
1708,negative
1709,positive
1710,negative
1711,negative
1712,negative
1713,negative
1714,negative
1715,negative
1716,positive
1717,positive
1718,positive
1719,positive
1720,negative
1721,positive
1722,negative
1723,negative
1724,negative
1725,negative
1726,negative
1727,positive
1728,positive
1729,positive
1730,positive
1731,negative
1732,negative
1733,negative
1734,positive
1735,negative
1736,positive
1737,negative
1738,negative
1739,negative
1740,positive
1741,negative
1742,negative
1743,negative
1744,positive
1745,positive
1746,negative
1747,negative
1748,positive
1749,positive
1750,negative
1751,positive
1752,positive
1753,negative
1754,negative
1755,negative
1756,positive
1757,negative
1758,positive
1759,negative
1760,positive
1761,negative
1762,positive
1763,negative
1764,positive
1765,positive
1766,positive
1767,positive
1768,positive
1769,negative
1770,positive
1771,negative
1772,positive
1773,negative
1774,negative
1775,positive
1776,negative
1777,positive
1778,negative
1779,positive
1780,negative
1781,negative
1782,negative
1783,negative
1784,negative
1785,negative
1786,positive
1787,positive
1788,negative
1789,negative
1790,positive
1791,negative
1792,negative
1793,positive
1794,negative
1795,positive
1796,negative
1797,negative
1798,negative
1799,negative
1800,positive
1801,positive
1802,positive
1803,negative
1804,negative
1805,positive
1806,positive
1807,negative
1808,negative
1809,positive
1810,negative
1811,positive
1812,negative
1813,negative
1814,positive
1815,negative
1816,positive
1817,positive
1818,negative
1819,positive
1820,negative
1821,negative
1822,positive
1823,negative
1824,negative
1825,positive
1826,positive
1827,positive
1828,negative
1829,positive
1830,negative
1831,positive
1832,positive
1833,negative
1834,negative
1835,positive
1836,negative
1837,negative
1838,negative
1839,negative
1840,positive
1841,positive
1842,positive
1843,positive
1844,positive
1845,negative
1846,positive
1847,negative
1848,positive
1849,positive
1850,negative
1851,positive
1852,positive
1853,negative
1854,negative
1855,negative
1856,negative
1857,positive
1858,positive
1859,negative
1860,positive
1861,positive
1862,positive
1863,positive
1864,negative
1865,positive
1866,positive
1867,negative
1868,negative
1869,negative
1870,positive
1871,negative
1872,negative
1873,negative
1874,negative
1875,positive
1876,negative
1877,negative
1878,positive
1879,negative
1880,negative
1881,negative
1882,negative
1883,negative
1884,negative
1885,positive
1886,positive
1887,positive
1888,negative
1889,positive
1890,positive
1891,negative
1892,positive
1893,positive
1894,positive
1895,negative
1896,negative
1897,positive
1898,negative
1899,positive
1900,positive
1901,positive
1902,positive
1903,negative
1904,positive
1905,positive
1906,negative
1907,negative
1908,positive
1909,negative
1910,positive
1911,negative
1912,positive
1913,positive
1914,positive
1915,positive
1916,positive
1917,negative
1918,negative
1919,positive
1920,negative
1921,negative
1922,positive
1923,negative
1924,positive
1925,positive
1926,positive
1927,positive
1928,positive
1929,negative
1930,positive
1931,positive
1932,positive
1933,negative
1934,positive
1935,positive
1936,negative
1937,positive
1938,positive
1939,negative
1940,negative
1941,negative
1942,negative
1943,positive
1944,negative
1945,negative
1946,positive
1947,positive
1948,negative
1949,negative
1950,positive
1951,negative
1952,positive
1953,negative
1954,negative
1955,positive
1956,negative
1957,negative
1958,negative
1959,positive
1960,positive
1961,positive
1962,positive
1963,negative
1964,positive
1965,positive
1966,negative
1967,negative
1968,positive
1969,negative
1970,negative
1971,positive
1972,negative
1973,negative
1974,positive
1975,negative
1976,negative
1977,positive
1978,negative
1979,negative
1980,negative
1981,negative
1982,positive
1983,positive
1984,negative
1985,negative
1986,negative
1987,positive
1988,positive
1989,negative
1990,negative
1991,positive
1992,negative
1993,positive
1994,negative
1995,negative
1996,positive
1997,negative
1998,positive
1999,negative
2000,negative
2001,positive
2002,positive
2003,positive
2004,positive
2005,negative
2006,positive
2007,negative
2008,positive
2009,positive
2010,negative
2011,positive
2012,positive
2013,negative
2014,positive
2015,negative
2016,positive
2017,negative
2018,positive
2019,negative
2020,negative
2021,negative
2022,positive
2023,positive
2024,negative
2025,negative
2026,negative
2027,negative
2028,negative
2029,negative
2030,positive
2031,negative
2032,negative
2033,positive
2034,negative
2035,negative
2036,positive
2037,positive
2038,negative
2039,positive
2040,negative
2041,negative
2042,negative
2043,negative
2044,positive
2045,negative
2046,positive
2047,negative
2048,positive
2049,positive
2050,negative
2051,positive
2052,negative
2053,negative
2054,positive
2055,positive
2056,negative
2057,negative
2058,positive
2059,positive
2060,positive
2061,negative
2062,negative
2063,negative
2064,positive
2065,positive
2066,negative
2067,negative
2068,negative
2069,positive
2070,positive
2071,negative
2072,negative
2073,positive
2074,negative
2075,negative
2076,positive
2077,positive
2078,positive
2079,positive
2080,positive
2081,positive
2082,negative
2083,negative
2084,positive
2085,negative
2086,negative
2087,positive
2088,positive
2089,positive
2090,positive
2091,positive
2092,positive
2093,positive
2094,negative
2095,positive
2096,positive
2097,negative
2098,negative
2099,positive
2100,positive
2101,negative
2102,positive
2103,positive
2104,negative
2105,positive
2106,positive
2107,positive
2108,negative
2109,positive
2110,positive
2111,positive
2112,positive
2113,positive
2114,negative
2115,positive
2116,positive
2117,positive
2118,positive
2119,positive
2120,positive
2121,positive
2122,positive
2123,positive
2124,negative
2125,positive
2126,negative
2127,positive
2128,negative
2129,positive
2130,negative
2131,positive
2132,positive
2133,positive
2134,positive
2135,positive
2136,negative
2137,positive
2138,negative
2139,positive
2140,negative
2141,negative
2142,negative
2143,negative
2144,negative
2145,positive
2146,negative
2147,positive
2148,negative
2149,negative
2150,negative
2151,negative
2152,positive
2153,negative
2154,positive
2155,positive
2156,positive
2157,positive
2158,negative
2159,positive
2160,positive
2161,negative
2162,positive
2163,positive
2164,positive
2165,positive
2166,negative
2167,positive
2168,negative
2169,positive
2170,negative
2171,positive
2172,negative
2173,negative
2174,negative
2175,negative
2176,positive
2177,negative
2178,positive
2179,positive
2180,positive
2181,positive
2182,positive
2183,positive
2184,positive
2185,positive
2186,positive
2187,negative
2188,negative
2189,negative
2190,positive
2191,positive
2192,positive
2193,positive
2194,negative
2195,negative
2196,positive
2197,negative
2198,negative
2199,negative
2200,negative
2201,negative
2202,negative
2203,positive
2204,positive
2205,negative
2206,negative
2207,negative
2208,negative
2209,negative
2210,positive
2211,positive
2212,positive
2213,positive
2214,negative
2215,negative
2216,positive
2217,negative
2218,negative
2219,positive
2220,negative
2221,positive
2222,positive
2223,negative
2224,negative
2225,negative
2226,positive
2227,negative
2228,positive
2229,negative
2230,negative
2231,positive
2232,negative
2233,negative
2234,negative
2235,positive
2236,positive
2237,negative
2238,positive
2239,positive
2240,positive
2241,positive
2242,negative
2243,negative
2244,negative
2245,positive
2246,positive
2247,negative
2248,positive
2249,negative
2250,positive
2251,negative
2252,positive
2253,positive
2254,negative
2255,negative
2256,negative
2257,negative
2258,positive
2259,negative
2260,positive
2261,positive
2262,negative
2263,positive
2264,positive
2265,positive
2266,negative
2267,positive
2268,negative
2269,positive
2270,negative
2271,positive
2272,negative
2273,negative
2274,positive
2275,positive
2276,positive
2277,negative
2278,negative
2279,positive
2280,negative
2281,positive
2282,positive
2283,negative
2284,positive
2285,positive
2286,positive
2287,positive
2288,positive
2289,negative
2290,positive
2291,negative
2292,positive
2293,positive
2294,positive
2295,negative
2296,positive
2297,positive
2298,negative
2299,positive
2300,negative
2301,positive
2302,negative
2303,negative
2304,negative
2305,negative
2306,positive
2307,negative
2308,positive
2309,positive
2310,positive
2311,positive
2312,negative
2313,negative
2314,positive
2315,negative
2316,negative
2317,negative
2318,negative
2319,positive
2320,positive
2321,positive
2322,positive
2323,positive
2324,positive
2325,negative
2326,positive
2327,negative
2328,negative
2329,negative
2330,negative
2331,positive
2332,positive
2333,positive
2334,negative
2335,positive
2336,negative
2337,positive
2338,negative
2339,positive
2340,positive
2341,negative
2342,negative
2343,negative
2344,negative
2345,positive
2346,positive
2347,positive
2348,positive
2349,positive
2350,negative
2351,negative
2352,positive
2353,negative
2354,positive
2355,positive
2356,positive
2357,positive
2358,negative
2359,negative
2360,positive
2361,negative
2362,negative
2363,positive
2364,positive
2365,negative
2366,positive
2367,positive
2368,positive
2369,positive
2370,negative
2371,negative
2372,positive
2373,positive
2374,positive
2375,negative
2376,negative
2377,positive
2378,positive
2379,positive
2380,negative
2381,negative
2382,negative
2383,negative
2384,positive
2385,positive
2386,negative
2387,positive
2388,positive
2389,negative
2390,positive
2391,negative
2392,positive
2393,negative
2394,negative
2395,negative
2396,negative
2397,negative
2398,negative
2399,positive
2400,negative
2401,positive
2402,positive
2403,negative
2404,negative
2405,negative
2406,positive
2407,positive
2408,negative
2409,negative
2410,negative
2411,positive
2412,negative
2413,negative
2414,negative
2415,negative
2416,positive
2417,negative
2418,negative
2419,negative
2420,negative
2421,positive
2422,negative
2423,negative
2424,positive
2425,positive
2426,negative
2427,negative
2428,positive
2429,negative
2430,positive
2431,negative
2432,negative
2433,positive
2434,positive
2435,negative
2436,positive
2437,positive
2438,negative
2439,positive
2440,negative
2441,positive
2442,negative
2443,positive
2444,positive
2445,negative
2446,positive
2447,positive
2448,negative
2449,positive
2450,negative
2451,positive
2452,positive
2453,negative
2454,negative
2455,positive
2456,negative
2457,negative
2458,negative
2459,positive
2460,positive
2461,negative
2462,negative
2463,positive
2464,negative
2465,positive
2466,negative
2467,negative
2468,positive
2469,positive
2470,negative
2471,positive
2472,positive
2473,positive
2474,negative
2475,positive
2476,negative
2477,negative
2478,negative
2479,positive
2480,positive
2481,negative
2482,positive
2483,positive
2484,positive
2485,positive
2486,negative
2487,negative
2488,negative
2489,positive
2490,negative
2491,negative
2492,negative
2493,positive
2494,negative
2495,negative
2496,positive
2497,positive
